brand,model,memory_size,manufactoring_year,os_version,color,price,original_price,source,status,description
Samsung,Galaxy A22,32,2017,Android 8.1,Red,13485000,11935000,unknown,Active,I don't know and don't care
Xiaomi,Redmi Note 10T,64,2020,Android 9.0,Green,13875000,,store,Inactive,I don't know and don't care
Samsung,Galaxy Note20,256,2016,Android 11,Blue,15040000,,unknown,Active,
Samsung,Galaxy M32,16,2017,Android 8.0,Black,14370000,,retailer,Active,Some notes
Apple,iPhone 6,32,2017,iOS 11.4,Cyan,13285000,,unknown,Inactive,
Xiaomi,Mi 10 Pro,16,2016,Android 9.0,Silver,14050000,,unknown,Sold,
HTC,HTC 10,16,2016,Android 8.0,White,14725000,,retailer,Sold,
Samsung,Galaxy M32,64,2015,Android 8.0,White,12100000,,store,Active,
Samsung,Galaxy Note20,32,2019,Android 8.0,Silver,14530000,12055000,unknown,Inactive,
OPPO,Oppo A5,32,2014,ColorOS 8.1,Blue,11430000,,store,Inactive,
Samsung,Galaxy Note20,128,2020,Android 8.1,Cyan,19570000,13710000,retailer,Inactive,
Xiaomi,Redmi Note 10 5G,32,2014,Android 10.0,Black,16445000,,unknown,Active,
HTC,HTC Butterfly 3,128,2019,Android 10.0,Purple,14585000,,store,Sold,
HTC,HTC Butterfly 3,16,2016,Android 8.1,Silver,9650000,,retailer,Inactive,
Xiaomi,Redmi Note 10T,128,2018,Android 7.0,Blue,11170000,,store,Inactive,Phone just likes new
Samsung,Galaxy Note20,128,2016,Android 7.0,Purple,19295000,,unknown,Inactive,
HTC,HTC 10,32,2017,Android 8.1,Blue,9205000,,store,Inactive,I don't know and don't care
Samsung,Galaxy A22,32,2015,Android 8.0,Green,17695000,10185000,unknown,Active,
OPPO,Oppo A5,16,2018,ColorOS 11,Cyan,18720000,,retailer,Active,
HTC,HTC Butterfly 3,256,2014,Android 8.0,Blue,8650000,,retailer,Active,
OPPO,Oppo A54,64,2020,ColorOS 11,Green,11675000,8330000,unknown,Sold,
Apple,iPhone 4S,128,2018,iOS 12.5,Red,18930000,8815000,retailer,Active,
Samsung,Galaxy A12,32,2015,Android 10.0,Cyan,13630000,7439999,store,Sold,
Samsung,Galaxy M32,128,2017,Android 10.0,Blue,19000000,,store,Active,Phone just likes new
Apple,iPhone 7,16,2015,iOS 12.5,Cyan,13275000,,retailer,Active,
Samsung,Galaxy A12,256,2020,Android 7.0,White,14675000,7419999,unknown,Active,
Apple,iPhone 7 Plus,32,2017,iOS 13.7,Red,15775000,10245000,retailer,Active,Some notes
HTC,HTC 10,32,2017,Android 7.0,Blue,16965000,,store,Inactive,
Apple,iPhone 8,16,2019,iOS 14.6,Cyan,10320000,,unknown,Inactive,
Apple,iPhone 6,32,2014,iOS 11.4,Silver,10955000,,store,Sold,
Samsung,Galaxy A12,16,2016,Android 11,Green,18875000,,retailer,Active,
Apple,iPhone X,128,2019,iOS 13.7,Silver,15020000,11850000,store,Sold,
Samsung,Galaxy M32,16,2016,Android 11,Yellow,17645000,14795000,store,Active,
OPPO,Oppo F19,32,2020,ColorOS 7.2,Silver,15980000,,store,Inactive,
HTC,HTC Butterfly 3,64,2016,Android 7.0,Silver,11775000,,store,Active,
Samsung,Galaxy M32,32,2014,Android 11,Silver,15100000,,retailer,Inactive,
OPPO,Oppo A54,32,2015,ColorOS 11,Silver,18555000,,retailer,Inactive,
Xiaomi,Redmi Note 10 5G,64,2018,Android 10.0,Cyan,11070000,,retailer,Inactive,
OPPO,Oppo F19,16,2019,ColorOS 11,Black,13300000,,store,Sold,
Xiaomi,Redmi Note 10T,128,2016,Android 8.0,Cyan,13025000,,retailer,Inactive,
HTC,HTC 10,256,2015,Android 11,Purple,18590000,,unknown,Active,
Xiaomi,Mi 10 Pro,256,2015,Android 7.0,Blue,15005000,,unknown,Active,
HTC,HTC 10,128,2015,Android 8.1,Blue,14645000,,store,Inactive,
Samsung,Galaxy A12,16,2020,Android 9.0,Red,16135000,,unknown,Active,
OPPO,Oppo A54,128,2019,ColorOS 8.1,Blue,10700000,8255000,retailer,Sold,
OPPO,Oppo Reno 3 Pro,64,2019,ColorOS 8.1,Black,11490000,,store,Inactive,
OPPO,Oppo Reno 3 Pro,16,2017,ColorOS 11,Yellow,18805000,,unknown,Active,Some notes
OPPO,Oppo A54,16,2018,ColorOS 11,Black,11965000,,store,Active,I don't know and don't care
Samsung,Galaxy M32,16,2015,Android 11,White,11835000,10285000,unknown,Sold,
