brand,model,memory_size,manufactoring_year,os_version,color,price,original_price,source,stock,sell,reserve,status,description
Xiaomi,Redmi Note 10T,32,2014,Android 9.0,Blue,13515000,,unknown,34,9,25,Active,
Samsung,Galaxy A12,64,2020,Android 8.1,Silver,18410000,,store,37,16,21,Active,Phone just likes new
Apple,iPhone 4S,64,2020,iOS 13.7,Purple,12270000,,store,25,19,6,Active,
Samsung,Galaxy A12,256,2020,Android 7.0,Silver,19370000,,store,11,4,7,Active,
HTC,HTC Butterfly 3,32,2017,Android 8.0,Blue,18135000,13470000,store,47,39,8,Active,Some notes
Xiaomi,Redmi Note 10 5G,128,2017,Android 11,White,14740000,,retailer,5,2,3,Active,
Xiaomi,Redmi Note 10T,16,2019,Android 9.0,Yellow,9270000,,store,21,11,10,Active,
Samsung,Galaxy M32,32,2014,Android 10.0,Purple,17035000,,unknown,4,4,0,Active,
HTC,HTC Butterfly 3,128,2014,Android 7.0,Cyan,13755000,,store,37,32,5,Active,
OPPO,Oppo A54,32,2015,ColorOS 7.2,Red,8490000,,retailer,27,10,17,Active,
